,0
0,5.720201530616558
1,4.650968719654271
2,3.9143555279676296
3,4.050238561389772
4,4.140326874124069
5,2.9458785642955916
6,3.2848500325684857
7,3.1836007618387296
8,3.295073163526952
9,3.231815764205334
10,2.880765658542183
11,2.797705800665897
12,2.9510573612866056
13,2.53986496175489
14,3.0107751068394664
15,2.4362468580775594
16,2.5775759341712825
17,2.37811933819725
18,2.609288466143555
19,2.7153415514863974
20,2.8982780414103866
21,2.53058430465295
22,2.492068400601669
23,2.4058274230047876
24,2.4330016363904097
25,2.281165679509992
26,2.6467954630922104
27,2.573057587685215
28,2.4342713351570295
29,2.3608423786439094
30,2.2363751606794247
