,0
0,4.18685646182976
1,4.656349751148394
2,5.084527498944497
3,5.487905879238402
4,5.8650741013974965
5,6.2176363339186596
6,6.55767334172524
7,6.883146692417844
8,7.190558227217462
9,7.482104040017596
10,7.775588188527377
11,8.050400790918712
12,8.317570870211226
13,8.563495619310798
14,8.798624111110025
15,9.038594819339236
16,9.28370652179922
17,9.504419159081154
18,9.728562238470213
19,9.933691252560246
20,10.152958286446223
21,10.370030091345708
22,10.56697983323616
23,10.749163345295809
24,10.945976780389886
25,11.140434437695829
26,11.312126027282284
27,11.500474711624298
28,11.671782313397676
29,11.830737424567637
30,12.045798399897357
